from,to,cost
56,62,1258.120140555796
62,54,1857.0979554484825
54,62,1857.0979554484825
62,45,2192.4319852774
45,62,2192.4319852774
62,32,1486.4262320592677
32,62,1486.4262320592677
62,30,1676.329929775937
30,62,1676.329929775937
62,15,3240.1257548727735
15,62,3240.1257548727735
62,16,3436.4160243132756
16,62,3436.4160243132756
62,12,3794.2679793433126
12,62,3794.2679793433126
62,6,2431.8135118969913
6,62,2431.8135118969913
62,44,2513.216179535623
44,62,2513.216179535623
62,35,3065.889083507407
35,62,3065.889083507407
62,11,3014.780386778168
11,62,3014.780386778168
62,43,1696.0629716766462
43,62,1696.0629716766462
62,36,2960.978380588389
36,62,2960.978380588389
62,41,3337.767598781036
41,62,3337.767598781036
62,1,3735.715397553426
1,62,3735.715397553426
62,202202,3822.2472490571176
202202,62,3822.2472490571176
57,56,616.8700330852784
56,57,616.8700330852784
57,54,1227.7545742613595
54,57,1227.7545742613595
57,45,2166.246113871834
45,57,2166.246113871834
57,32,1799.1256688116082
32,57,1799.1256688116082
57,30,1507.1683800044132
30,57,1507.1683800044132
57,15,2992.9228182034312
15,57,2992.9228182034312
57,16,3001.1323647992504
16,57,3001.1323647992504
57,12,3155.7555016150636
12,57,3155.7555016150636
57,6,1984.643309723489
6,57,1984.643309723489
57,44,1871.892030452769
44,57,1871.892030452769
57,35,2475.9029282851725
35,57,2475.9029282851725
57,11,2373.477327930314
11,57,2373.477327930314
57,43,1189.2065504343923
43,57,1189.2065504343923
57,36,2349.743206065451
36,57,2349.743206065451
57,41,2857.8496629711876
41,57,2857.8496629711876
57,1,3217.3026953995436
1,57,3217.3026953995436
57,202202,3224.653118190638
202202,57,3224.653118190638
56,54,651.3381654731697
54,56,651.3381654731697
56,45,2327.3589840553022
45,56,2327.3589840553022
56,32,2244.6736713856653
32,56,2244.6736713856653
56,30,1603.1269224148098
30,56,1603.1269224148098
56,15,2885.917900602778
15,56,2885.917900602778
56,16,2674.1662186638546
16,56,2674.1662186638546
56,12,2541.4000993294553
12,56,2541.4000993294553
56,6,1690.4580580249615
6,56,1690.4580580249615
56,44,1255.2490763392814
44,56,1255.2490763392814
56,35,1947.0170789955255
35,56,1947.0170789955255
56,11,1757.0042135132649
11,56,1757.0042135132649
56,43,898.3426267644921
43,56,898.3426267644921
56,36,1788.0507151658542
36,56,1788.0507151658542
56,41,2477.651762983089
41,56,2477.651762983089
56,1,2777.660079750407
1,56,2777.660079750407
56,202202,2675.6100409852193
202202,56,2675.6100409852193
54,45,2345.7220433285943
45,54,2345.7220433285943
54,32,2569.780382305166
32,54,2569.780382305166
54,30,1633.774952770708
30,54,1633.774952770708
54,15,2589.0788043301764
15,54,2589.0788043301764
54,16,2168.272137203387
16,54,2168.272137203387
54,12,2040.7000035060507
12,54,2040.7000035060507
54,6,1276.122600177953
6,54,1276.122600177953
54,44,738.013708748686
44,54,738.013708748686
54,35,1301.652630255824
35,54,1301.652630255824
54,11,1210.5882294248108
11,54,1210.5882294248108
54,43,682.7063557628518
43,54,682.7063557628518
54,36,1136.8134376252126
36,54,1136.8134376252126
54,41,1929.3380865065837
41,54,1929.3380865065837
54,1,2176.1211122730324
1,54,2176.1211122730324
54,202202,2024.392870084615
202202,54,2024.392870084615
45,32,1162.0148223327808
32,45,1162.0148223327808
45,30,729.2955934162069
30,45,729.2955934162069
45,15,1317.7699243220136
15,45,1317.7699243220136
45,16,2105.0395230804584
16,45,2105.0395230804584
45,12,4183.317100746639
12,45,4183.317100746639
45,6,1565.2481484141665
6,45,1565.2481484141665
45,44,3009.9594437548367
44,45,3009.9594437548367
45,35,2684.6518204598206
35,45,2684.6518204598206
45,11,3366.325678389807
11,45,3366.325678389807
45,43,1665.641185238387
43,45,1665.641185238387
45,36,2792.9967429072376
36,45,2792.9967429072376
45,41,2231.889569275736
41,45,2231.889569275736
45,1,2723.7094578777696
1,45,2723.7094578777696
45,202202,3313.3018508428713
202202,45,3313.3018508428713
32,30,1224.7106002013218
30,32,1224.7106002013218
32,15,2474.3727690159512
15,32,2474.3727690159512
32,16,3131.762735768926
16,32,3131.762735768926
32,12,4598.7180434898955
12,32,4598.7180434898955
32,6,2346.1262125355115
6,32,2346.1262125355115
32,44,3307.1717142224607
44,32,3307.1717142224607
32,35,3366.0650060988173
35,32,3366.0650060988173
32,11,3759.4336276751224
11,32,3759.4336276751224
